PRODUCT TYPE,الطراز,الكمية,سعر الجلب,"اجمالي
 الجلب",تم بيع,الباقي,"اجمالي 
البيع جلب",سعر البيع
معالج CPU,R5 3600x,0,390,0,0,0,0,500
معالج CPU,R5 5500,0,505,0,0,0,0,600
معالج CPU,R5 5600,0,610,0,0,0,0,750
معالج CPU,r5 4600G,0,560,0,0,0,0,700
معالج CPU,R5 5600G,0,630,0,0,0,0,700
معالج CPU,r5 7600,3,1450,4350,0,3,0,1600
معالج CPU,r7  5700x,3,1117,3351,0,3,0,1350
معالج CPU,r7  5800x,1,1500,1500,0,1,0,1700
معالج CPU,i3 12100f box,0,400,0,0,0,0,600
معالج CPU,i3 12100f TRAY,4,470,1410,1,3,470,600
معالج CPU,i5 12400f tray,0,610,0,0,0,0,750
معالج CPU,core i5 13400f box,0,1176,0,0,0,0,1275
معالج CPU,core i5 13400f box,0,1176,0,0,0,0,1275
معالج CPU,core i7 12700kf tray,4,1380,1380,3,1,4140,1700
معالج CPU,core i7 12700kf ,0,1580,0,0,0,0,1750
معالج CPU,core i5 12600kf ,0,1135,0,0,0,0,1350
لوحة MB,msi  z790 gaming wifi,2,1440,2880,0,2,0,1840
لوحة MB,msi  z790 s wifi,3,1260,3780,0,3,0,1650
لوحة MB,ASROCK h610m,0,525,0,0,0,0,600
لوحة MB,ASROCK b450m,0,450,0,0,0,0,500
لوحة MB,B550M JUSH,0,500,0,0,0,0,750
لوحة MB,jigshou b450m,3,380,1140,0,3,0,550
لوحة MB,ASROCK B650m,4,700,2800,0,4,0,870
لوحة MB,h610m ounda,3,400,800,1,2,400,600
لوحة MB,MSI B760M WIFI,0,730,0,0,0,0,900
لوحة MB,msi x570,0,550,0,0,0,0,800
ذاكرة  RAM,ddr4 16gbعادي,0,100,0,0,0,0,200
ذاكرة  RAM,gssskill 2x16 RGB,0,200,0,0,0,0,300
ذاكرة  RAM,ddr4 kingston 2x8 NEW,0,380,0,0,0,0,420
ذاكرة  RAM,DDR5 t-force2x16  6000,4,700,2800,0,4,0,380
ذاكرة  RAM,ddr4 t-force2x16 RGB,4,514,0,4,0,2056,645
ذاكرة  RAM,ddr4 xpg 2x8RGB ,2,363,726,0,2,0,450
ذاكرة  RAM,ram target  8gb rgb,1,143,0,1,0,143,175
ذاكرة  RAM,ram target  8gb rgb,0,123,0,0,0,0,175
ذاكرة  RAM,ddr5 kingston 2x8 RGB,2,525,1050,0,2,0,650
CHINA,lovincool,0,21539,0,0,0,0,10000
ssdقرص تخزين ,ssd sata target 256gb,10,90,900,0,10,0,150
ssdقرص تخزين ,ssd sata target 512gb,6,180,1080,0,6,0,250
ssdقرص تخزين ,ssd sata target 1TB,9,325,2925,0,9,0,400
ssdقرص تخزين ,ssd teamgroup  sata 1T,2,300,600,0,2,0,420
ssdقرص تخزين ,nvme kingston gen4 1tb,0,440,0,0,0,0,650
ssdقرص تخزين ,TEAMGROUP 480GB SATA,3,232,696,0,3,0,280
ssdقرص تخزين,Target NVME 1TB,3,329,987,0,3,0,420
ssdقرص تخزين,Target NVME 512GB,5,156,780,0,5,0,250
ssdقرص تخزين,Target NVME 256GB,6,110,660,0,6,0,160
sound sys ,6030,1,150,150,0,1,0,180
sound sys,jp-a5,1,155,155,0,1,0,190
sound sys,jp-c7,1,240,240,0,1,0,300
شاشة,mini monitoer b,5,93,465,0,5,0,120
شاشة,mini monitor w,6,96,576,0,6,0,120
شاشة,"mini monitor 5""",1,242,242,0,1,0,300
شاشة,LG 27' 1080ips 100HZ,1,600,600,0,1,0,1675
شاشة,msi g244f e2 180hz,3,780,2340,0,3,0,1050
شاشة,msi g274f e2 180hz,1,966,966,0,1,0,1280
شاشة,msi pro mp 275 100hz,6,705,4230,0,6,0,850
شاشة,msi pro mp 251 100hz,3,570,1140,1,2,570,750
كيس pc case,LC W360 White,2,195,390,0,2,0,400
كيس pc case,LC W360 Black,2,186,186,1,1,186,400
كيس pc case,LC W240 White,0,140,0,0,0,0,185
كيس pc case,LC W240 Black,0,132,0,0,0,0,200
كيس pc case,LC-m3 B,20,145,2900,0,20,0,220
كيس pc case,LC-m3 W,20,155,3100,0,20,0,240
كيس pc case,LC-63 B,20,145,2900,0,20,0,200
كيس pc case,LC-63 W,20,150,3000,0,20,0,210
كيس pc case,antec ax20+650,2,492,0,2,0,984,600
كيس pc case,LC100J PRO,10,240,2400,0,10,0,400
مراوح sys fan ,LC SGQ1200W,131,21,2730,1,130,21,40
مراوح sys fan ,LC SGQ1200B,113,20,2260,0,113,0,35
مراوح sys fan ,LCYD1200W,150,25,3750,0,150,0,45
مراوح sys fan ,LCYD1200B,151,24,3624,0,151,0,45
مراوح sys fan ,"LC-D120, black",10,35,350,0,10,0,50
مراوح sys fan ,"LC-D120, WHITE",10,36,360,0,10,0,50
مراوح sys fan ,"LC-D120, BLACK 3X1",15,112,1680,0,15,0,180
